OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
2017-01-012016-01-032015-01-05,2003-12-102002-10-292001-09-19,SO61278SO48817SO45101,1174.0,71105.0,22.0,6.0,3.0
2017-01-012016-01-032015-01-05,2003-09-252002-12-042001-11-21,SO61278SO48820SO45100,1264.0,55694.0,27.0,3.0,3.0
2017-01-012016-01-032015-01-05,2003-10-012002-09-102001-11-24,SO61305SO48815SO45102,1270.0,67210.0,23.0,3.0,3.0
2017-01-012016-01-032015-01-06,2003-09-132002-10-112001-10-17,SO61283SO48818SO45104,1171.0,70912.0,9.0,4.0,4.0
2017-01-012016-01-032015-01-06,2003-09-272002-11-152001-10-01,SO61283SO48821SO45108,1227.0,72592.0,16.0,3.0,4.0
2017-01-012016-01-032015-01-06,2003-09-032002-12-162001-11-21,SO61283SO48816SO45105,888.0,61497.0,17.0,5.0,3.0
2017-01-012016-01-042015-01-06,2003-11-232002-09-152001-09-24,SO61288SO48827SO45103,1198.0,75578.0,8.0,3.0,4.0
2017-01-012016-01-042015-01-06,2003-10-302002-10-252001-11-12,SO61288SO48825SO45106,1257.0,63110.0,21.0,4.0,4.0
2017-01-012016-01-042015-01-06,2003-11-212002-10-022001-12-14,SO61288SO48829SO45107,900.0,72105.0,19.0,5.0,3.0
2017-01-012016-01-042015-01-07,2003-11-052002-12-062001-11-05,SO61272SO48822SO45109,1170.0,53919.0,29.0,4.0,4.0
2017-01-012016-01-042015-01-07,2003-09-082002-11-302001-09-17,SO61272SO48824SO45112,1221.0,65205.0,28.0,3.0,4.0
2017-01-012016-01-042015-01-07,2003-11-162002-10-272001-11-09,SO61276SO48828SO45111,918.0,66085.0,27.0,4.0,5.0
2017-01-012016-01-042015-01-07,2003-10-312002-12-132001-12-05,SO61276SO48823SO45110,1168.0,52783.0,26.0,3.0,3.0
2017-01-012016-01-042015-01-08,2003-10-212002-09-152001-12-14,SO61294SO48826SO45119,1160.0,59557.0,22.0,3.0,4.0
2017-01-012016-01-052015-01-08,2003-10-212002-11-022001-11-21,SO61294SO48835SO45117,1186.0,53271.0,11.0,4.0,4.0
2017-01-012016-01-052015-01-08,2003-09-082002-12-152001-11-24,SO61274SO48832SO45116,907.0,79770.0,19.0,3.0,5.0
2017-01-012016-01-052015-01-08,2003-10-082002-11-012001-11-01,SO61274SO48831SO45114,1111.0,77180.0,20.0,4.0,3.0
2017-01-012016-01-052015-01-08,2003-11-032002-09-112001-09-20,SO61307SO48836SO45115,923.0,60203.0,22.0,4.0,3.0
2017-01-012016-01-052015-01-08,2003-10-062002-11-032001-10-29,SO61307SO48834SO45118,1248.0,65677.0,22.0,3.0,3.0
2017-01-012016-01-052015-01-08,2003-11-062002-11-052001-11-11,SO61279SO48833SO45113,1171.0,65118.0,23.0,4.0,4.0
2017-01-012016-01-052015-01-08,2003-12-142002-10-242001-11-25,SO61279SO48830SO45120,1077.0,42360.0,29.0,3.0,3.0
2017-01-012016-01-062015-01-09,2003-11-132002-09-172001-11-22,SO61271SO48838SO45124,1224.0,62588.0,27.0,3.0,4.0
2017-01-012016-01-062015-01-09,2003-09-232002-11-192001-12-23,SO61271SO48837SO45122,1165.0,73001.0,22.0,4.0,3.0
2017-01-012016-01-072015-01-09,2003-09-152002-12-152001-12-12,SO61295SO48841SO45123,1172.0,55438.0,14.0,4.0,4.0
2017-01-012016-01-072015-01-09,2003-12-032002-09-092001-09-24,SO61295SO48845SO45121,1200.0,57540.0,11.0,3.0,4.0
2017-01-012016-01-072015-01-10,2003-12-072002-11-182001-11-20,SO61284SO48843SO45129,1154.0,54725.0,14.0,4.0,4.0
2017-01-012016-01-072015-01-10,2003-11-012002-10-262001-12-12,SO61284SO48839SO45127,1219.0,73202.0,13.0,3.0,4.0
2017-01-012016-01-072015-01-10,2003-11-022002-10-292001-10-07,SO61290SO48847SO45128,1171.0,56073.0,14.0,3.0,4.0
2017-01-012016-01-072015-01-10,2003-11-262002-11-122001-12-26,SO61290SO48844SO45126,1126.0,50983.0,12.0,4.0,3.0
2017-01-012016-01-072015-01-11,2003-09-282002-10-242001-09-22,SO61280SO48846SO45136,886.0,44626.0,22.0,3.0,3.0
2017-01-012016-01-072015-01-11,2003-11-262002-12-142001-11-30,SO61309SO48840SO45130,1036.0,46353.0,29.0,3.0,3.0
2017-01-012016-01-072015-01-11,2003-11-012002-10-162001-12-13,SO61309SO48842SO45134,1149.0,48983.0,25.0,4.0,3.0
2017-01-012016-01-082015-01-11,2003-09-272002-11-242001-11-13,SO61302SO48855SO45138,1180.0,39893.0,22.0,4.0,4.0
2017-01-012016-01-082015-01-11,2003-11-292002-11-082001-12-07,SO61302SO48857SO45132,1170.0,67123.0,17.0,5.0,4.0
2017-01-012016-01-082015-01-11,2003-11-282002-11-302001-10-10,SO61302SO48852SO45137,996.0,48724.0,14.0,3.0,3.0
2017-01-012016-01-082015-01-11,2003-11-092002-10-032001-09-26,SO61277SO48851SO45133,891.0,70930.0,10.0,5.0,4.0
2017-01-012016-01-082015-01-11,2003-10-192002-09-172001-09-14,SO61277SO48853SO45131,1170.0,56549.0,13.0,4.0,3.0
2017-01-012016-01-082015-01-11,2003-11-032002-12-092001-12-03,SO61277SO48856SO45135,1262.0,58281.0,21.0,3.0,3.0
2017-01-012016-01-082015-01-12,2003-12-052002-09-242001-12-25,SO61299SO48849SO45141,1200.0,70537.0,15.0,4.0,4.0
2017-01-012016-01-082015-01-12,2003-09-122002-09-212001-12-25,SO61299SO48854SO45143,1201.0,55332.0,17.0,3.0,3.0
2017-01-012016-01-082015-01-12,2003-12-062002-11-292001-12-26,SO61297SO48850SO45142,1204.0,64889.0,23.0,3.0,5.0
2017-01-012016-01-082015-01-12,2003-11-302002-09-292001-11-28,SO61297SO48848SO45145,1174.0,50767.0,29.0,6.0,4.0
2017-01-012016-01-092015-01-12,2003-09-062002-12-042001-11-25,SO61297SO48862SO45144,1142.0,58525.0,23.0,5.0,4.0
2017-01-012016-01-092015-01-12,2003-12-142002-09-282001-11-17,SO61297SO48858SO45140,1210.0,40567.0,24.0,4.0,4.0
2017-01-012016-01-092015-01-12,2003-11-302002-12-222001-09-25,SO61297SO48864SO45139,1159.0,39059.0,26.0,7.0,3.0
2017-01-012016-01-092015-01-13,2003-09-282002-10-232001-12-10,SO61306SO48860SO45148,1194.0,51936.0,11.0,5.0,4.0
2017-01-012016-01-092015-01-13,2003-09-232002-11-202001-11-28,SO61306SO48863SO45147,1143.0,79315.0,17.0,4.0,4.0
2017-01-012016-01-092015-01-13,2003-09-122002-12-152001-09-25,SO61306SO48865SO45146,1271.0,63305.0,28.0,3.0,3.0
2017-01-012016-01-092015-01-14,2003-09-192002-09-212001-12-08,SO61275SO48859SO45149,907.0,45540.0,27.0,3.0,3.0
2017-01-012016-01-092015-01-14,2003-11-142002-10-082001-12-24,SO61282SO48861SO45154,1145.0,56859.0,17.0,3.0,3.0
2017-01-012016-01-092015-01-14,2003-10-132002-12-112001-11-27,SO61308SO48866SO45151,1153.0,62975.0,19.0,4.0,4.0
2017-01-012016-01-102015-01-14,2003-10-072002-12-052001-09-18,SO61308SO48871SO45150,1185.0,66962.0,16.0,5.0,4.0
2017-01-012016-01-102015-01-14,2003-10-252002-11-082001-12-30,SO61308SO48869SO45157,1086.0,55310.0,27.0,3.0,3.0
2017-01-012016-01-102015-01-14,2003-09-202002-11-292001-10-13,SO61300SO48868SO45156,1159.0,43949.0,20.0,5.0,4.0
2017-01-012016-01-102015-01-14,2003-10-102002-12-192001-11-05,SO61300SO48870SO45155,1161.0,55380.0,22.0,4.0,4.0
2017-01-012016-01-102015-01-14,2003-11-242002-10-072001-12-08,SO61300SO48876SO45153,1129.0,58841.0,22.0,3.0,4.0
2017-01-012016-01-102015-01-14,2003-10-102002-11-042001-12-25,SO61300SO48872SO45152,1115.0,57923.0,9.0,6.0,3.0
2017-01-012016-01-102015-01-15,2003-11-042002-11-132001-12-19,SO61293SO48867SO45162,1162.0,52255.0,17.0,3.0,4.0
2017-01-012016-01-102015-01-15,2003-09-192002-12-262001-12-05,SO61293SO48877SO45158,892.0,73159.0,17.0,4.0,3.0
2017-01-012016-01-102015-01-15,2003-10-082002-10-212001-10-19,SO61293SO48875SO45163,941.0,68719.0,19.0,5.0,3.0
2017-01-012016-01-102015-01-15,2003-12-152002-11-132001-10-26,SO61311SO48874SO45159,1188.0,47836.0,26.0,4.0,4.0
2017-01-012016-01-112015-01-15,2003-09-032002-12-192001-11-20,SO61311SO48883SO45161,1311.0,61972.0,20.0,3.0,3.0
2017-01-012016-01-112015-01-15,2003-09-242002-11-072001-10-11,SO61292SO48884SO45160,1176.0,61917.0,23.0,4.0,4.0
2017-01-012016-01-112015-01-15,2003-10-172002-10-192001-10-04,SO61292SO48881SO45164,1198.0,56789.0,22.0,3.0,4.0
2017-01-012016-01-112015-01-16,2003-11-042002-12-212001-12-23,SO61287SO48880SO45167,1156.0,48212.0,19.0,4.0,4.0
2017-01-012016-01-112015-01-16,2003-10-152002-10-162001-12-08,SO61287SO48879SO45169,1154.0,47052.0,25.0,3.0,4.0
2017-01-012016-01-112015-01-16,2003-10-272002-12-122001-12-23,SO61287SO48878SO45171,1209.0,45229.0,25.0,5.0,3.0
2017-01-012016-01-112015-01-16,2003-12-012002-11-202001-09-30,SO61296SO48882SO45170,1198.0,53259.0,21.0,3.0,4.0
2017-01-012016-01-122015-01-16,2003-09-132002-12-122001-12-26,SO61312SO48888SO45166,1206.0,63647.0,22.0,3.0,3.0
2017-01-012016-01-122015-01-16,2003-09-282002-11-022001-10-23,SO61273SO48890SO45168,1147.0,55786.0,27.0,3.0,4.0
2017-01-012016-01-122015-01-16,2003-11-242002-10-192001-12-31,SO61304SO48891SO45165,1150.0,49004.0,25.0,4.0,4.0
2017-01-012016-01-122015-01-17,2003-11-282002-11-192001-09-29,SO61304SO48889SO45172,1175.0,57192.0,21.0,5.0,4.0
2017-01-012016-01-122015-01-17,2003-10-032002-11-292001-11-22,SO61304SO48887SO45176,883.0,68538.0,15.0,6.0,3.0
2017-01-012016-01-122015-01-17,2003-11-162002-10-132001-11-29,SO61304SO48886SO45174,1225.0,54144.0,24.0,3.0,3.0
2017-01-012016-01-122015-01-17,2003-11-242002-10-152001-10-30,SO61281SO48885SO45179,1261.0,58020.0,20.0,3.0,5.0
2017-01-012016-01-132015-01-17,2003-11-052002-10-272001-12-17,SO61303SO48899SO45178,940.0,48371.0,28.0,4.0,3.0
2017-01-012016-01-132015-01-17,2003-12-172002-10-142001-10-28,SO61303SO48902SO45177,1235.0,46471.0,28.0,3.0,3.0
2017-01-022016-01-132015-01-17,2003-11-102002-09-292001-10-30,SO61367SO48898SO45173,1164.0,54112.0,17.0,4.0,4.0
2017-01-022016-01-132015-01-17,2003-09-082002-09-252001-10-23,SO61367SO48896SO45175,1165.0,57969.0,23.0,5.0,3.0
2017-01-022016-01-132015-01-18,2003-11-082002-09-282001-11-30,SO61367SO48903SO45180,1142.0,52798.0,28.0,6.0,3.0
2017-01-022016-01-132015-01-18,2003-09-162002-09-192001-10-01,SO61367SO48901SO45184,1247.0,50776.0,27.0,3.0,3.0
2017-01-022016-01-132015-01-18,2003-11-082002-10-112002-01-01,SO61315SO48893SO45183,934.0,58629.0,28.0,7.0,4.0
2017-01-022016-01-132015-01-18,2003-10-092002-12-142001-10-25,SO61315SO48900SO45181,1197.0,56809.0,20.0,4.0,4.0
2017-01-022016-01-132015-01-18,2003-12-072002-11-022001-12-11,SO61315SO48895SO45185,913.0,49513.0,29.0,5.0,3.0
2017-01-022016-01-132015-01-18,2003-09-052002-11-212001-10-25,SO61315SO48894SO45182,1185.0,52949.0,26.0,6.0,3.0
2017-01-022016-01-132015-01-19,2003-09-192002-12-232001-11-17,SO61315SO48892SO45186,1241.0,47851.0,26.0,3.0,3.0
2017-01-022016-01-132015-01-19,2003-10-092002-10-162001-10-06,SO61349SO48897SO45191,1246.0,43763.0,19.0,3.0,5.0
2017-01-022016-01-142015-01-19,2003-10-112002-11-232001-10-18,SO61349SO48905SO45187,887.0,54424.0,21.0,5.0,3.0
2017-01-022016-01-142015-01-19,2003-10-032002-11-142001-11-15,SO61349SO48904SO45188,1203.0,39916.0,30.0,4.0,3.0
2017-01-022016-01-142015-01-19,2003-11-092002-11-152001-12-08,SO61355SO48906SO45190,895.0,58199.0,23.0,3.0,3.0
2017-01-022016-01-142015-01-19,2003-12-092002-10-112001-12-03,SO61370SO48908SO45189,886.0,54235.0,19.0,4.0,3.0
2017-01-022016-01-142015-01-20,2003-11-132002-09-242001-11-22,SO61370SO48907SO45196,1234.0,56930.0,19.0,3.0,3.0
2017-01-022016-01-142015-01-20,2003-11-102002-09-222001-11-02,SO61332SO48909SO45195,1193.0,58849.0,22.0,4.0,4.0
2017-01-022016-01-152015-01-20,2003-09-082002-10-102001-10-04,SO61332SO48916SO45193,1203.0,62472.0,19.0,3.0,4.0
2017-01-022016-01-152015-01-20,2003-11-232002-10-022001-11-21,SO61351SO48913SO45194,1167.0,63834.0,17.0,4.0,4.0
2017-01-022016-01-152015-01-20,2003-09-152002-09-232002-01-05,SO61351SO48919SO45192,854.0,52705.0,23.0,5.0,3.0
2017-01-022016-01-152015-01-20,2003-09-152002-10-202001-10-03,SO61351SO48918SO45197,1213.0,43741.0,22.0,3.0,3.0
2017-01-022016-01-152015-01-21,2003-10-112002-10-162001-11-22,SO61365SO48914SO45201,882.0,76586.0,9.0,4.0,3.0
2017-01-022016-01-152015-01-21,2003-11-102002-12-162001-12-19,SO61365SO48911SO45199,1262.0,71039.0,22.0,3.0,3.0
2017-01-022016-01-152015-01-21,2003-11-252002-11-222002-01-05,SO61320SO48915SO45200,1122.0,73572.0,17.0,4.0,4.0
2017-01-022016-01-152015-01-21,2003-11-012002-11-122001-11-17,SO61320SO48917SO45204,1179.0,54039.0,27.0,3.0,4.0
2017-01-022016-01-152015-01-21,2003-10-292002-10-072001-12-14,SO61320SO48912SO45203,856.0,68691.0,26.0,5.0,3.0
2017-01-022016-01-152015-01-21,2003-09-132002-10-242001-10-12,SO61362SO48910SO45202,1171.0,49329.0,26.0,4.0,4.0
2017-01-022016-01-162015-01-21,2003-09-282002-10-052001-09-28,SO61362SO48920SO45198,1025.0,40770.0,27.0,3.0,3.0
2017-01-022016-01-162015-01-22,2003-09-272002-10-272001-12-10,SO61342SO48924SO45213,1245.0,50001.0,23.0,3.0,5.0
2017-01-022016-01-162015-01-22,2003-09-082002-12-142001-11-22,SO61342SO48926SO45207,1165.0,64770.0,21.0,5.0,4.0
2017-01-022016-01-162015-01-22,2003-10-192002-10-102001-10-01,SO61342SO48925SO45211,1172.0,46701.0,21.0,4.0,3.0
2017-01-022016-01-162015-01-22,2003-11-242002-09-252001-10-28,SO61358SO48922SO45212,1167.0,48280.0,17.0,4.0,4.0
2017-01-022016-01-162015-01-22,2003-11-232002-09-242001-10-07,SO61358SO48923SO45208,1081.0,48638.0,11.0,3.0,3.0
2017-01-022016-01-162015-01-22,2003-09-142002-10-232002-01-06,SO61358SO48929SO45209,1138.0,57183.0,14.0,5.0,3.0
2017-01-022016-01-162015-01-22,2003-10-222002-10-192001-10-11,SO61369SO48930SO45210,1247.0,73409.0,20.0,3.0,3.0
2017-01-022016-01-162015-01-22,2003-10-212002-09-252002-01-06,SO61319SO48921SO45206,1202.0,45296.0,26.0,3.0,5.0
2017-01-022016-01-162015-01-22,2003-09-072002-12-252001-12-25,SO61319SO48928SO45205,1156.0,64184.0,17.0,5.0,4.0
2017-01-022016-01-162015-01-23,2003-12-092002-12-012001-11-11,SO61319SO48927SO45215,1212.0,76173.0,11.0,4.0,4.0
2017-01-022016-01-172015-01-23,2003-09-102002-11-112001-10-06,SO61364SO48933SO45214,895.0,63842.0,12.0,4.0,4.0
2017-01-022016-01-172015-01-23,2003-12-052002-11-102001-10-14,SO61364SO48934SO45216,1229.0,80655.0,12.0,3.0,3.0
2017-01-022016-01-172015-01-24,2003-09-262002-09-202001-11-01,SO61359SO48931SO45217,1055.0,62946.0,12.0,3.0,3.0
2017-01-022016-01-172015-01-24,2003-10-072002-12-172001-10-14,SO61343SO48936SO45219,1129.0,59209.0,25.0,3.0,4.0
2017-01-022016-01-172015-01-24,2003-12-092002-11-282001-10-22,SO61343SO48932SO45222,1192.0,51697.0,15.0,4.0,3.0
2017-01-022016-01-172015-01-24,2003-11-152002-11-262001-10-24,SO61333SO48937SO45221,1202.0,47523.0,21.0,4.0,4.0
2017-01-022016-01-172015-01-24,2003-10-122002-11-162001-12-04,SO61333SO48935SO45220,1170.0,55816.0,11.0,3.0,3.0
2017-01-022016-01-182015-01-24,2003-09-122002-11-252001-12-18,SO61316SO48943SO45223,1200.0,54090.0,27.0,3.0,5.0
2017-01-022016-01-182015-01-24,2003-12-072002-11-192001-10-23,SO61316SO48938SO45224,1164.0,57630.0,28.0,4.0,3.0
2017-01-022016-01-182015-01-24,2003-10-192002-12-202001-11-20,SO61313SO48942SO45218,930.0,64137.0,13.0,4.0,5.0
2017-01-022016-01-182015-01-25,2003-12-052002-11-062001-11-25,SO61313SO48944SO45228,917.0,55205.0,26.0,5.0,3.0
2017-01-022016-01-182015-01-25,2003-10-282002-11-302001-10-08,SO61313SO48940SO45226,1249.0,46924.0,20.0,3.0,3.0
2017-01-022016-01-182015-01-25,2003-10-092002-12-132001-11-20,SO61328SO48939SO45225,1197.0,41799.0,12.0,3.0,3.0
2017-01-022016-01-182015-01-25,2003-10-062002-10-242001-12-11,SO61330SO48941SO45227,1220.0,65133.0,11.0,4.0,4.0
2017-01-022016-01-192015-01-26,2003-11-192002-10-242001-11-21,SO61330SO48949SO45232,1184.0,69721.0,22.0,3.0,3.0
2017-01-022016-01-192015-01-26,2003-11-172002-10-012001-12-13,SO61339SO48946SO45233,1187.0,52606.0,14.0,3.0,4.0
2017-01-022016-01-192015-01-26,2003-10-072002-12-272001-11-30,SO61339SO48947SO45231,1138.0,47274.0,22.0,4.0,3.0
2017-01-022016-01-192015-01-26,2003-10-022002-10-192001-11-09,SO61352SO48945SO45229,1256.0,41166.0,24.0,3.0,3.0
2017-01-022016-01-192015-01-27,2003-10-162002-10-022001-11-24,SO61366SO48948SO45236,1143.0,46890.0,25.0,4.0,4.0
2017-01-022016-01-202015-01-27,2003-12-092002-12-032001-12-14,SO61366SO48951SO45234,1159.0,61582.0,21.0,5.0,4.0
2017-01-022016-01-202015-01-27,2003-09-052002-09-272001-11-27,SO61366SO48955SO45235,1159.0,56977.0,17.0,6.0,3.0
2017-01-022016-01-202015-01-27,2003-11-242002-10-222002-01-11,SO61366SO48952SO45237,1246.0,48015.0,23.0,3.0,3.0
2017-01-022016-01-202015-01-27,2003-10-192002-11-252001-11-15,SO61340SO48950SO45238,1182.0,37682.0,23.0,4.0,5.0
2017-01-022016-01-202015-01-28,2003-12-172002-10-292001-11-15,SO61340SO48956SO45242,1152.0,56928.0,14.0,3.0,5.0
2017-01-022016-01-202015-01-28,2003-09-042002-11-282001-12-11,SO61340SO48953SO45240,1157.0,66305.0,14.0,5.0,4.0
2017-01-022016-01-202015-01-28,2003-10-022002-12-202001-12-25,SO61340SO48954SO45241,1153.0,69664.0,9.0,6.0,4.0
2017-01-022016-01-212015-01-28,2003-10-092002-12-262001-11-16,SO61324SO48961SO45244,928.0,50820.0,26.0,4.0,3.0
2017-01-022016-01-212015-01-28,2003-11-292002-12-092001-12-25,SO61324SO48960SO45243,1268.0,77886.0,18.0,3.0,3.0
2017-01-022016-01-212015-01-29,2003-09-072002-12-042001-11-24,SO61345SO48959SO45245,1213.0,62480.0,26.0,4.0,5.0
2017-01-022016-01-212015-01-29,2003-11-132002-12-252001-11-03,SO61345SO48962SO45246,886.0,52493.0,26.0,5.0,3.0
2017-01-022016-01-212015-01-29,2003-12-062002-10-142001-12-30,SO61345SO48957SO45247,1202.0,66687.0,25.0,3.0,3.0
2017-01-022016-01-212015-01-29,2003-12-012003-01-032002-01-07,SO61325SO48958SO45248,1187.0,56444.0,28.0,5.0,5.0
2017-01-022016-01-212015-01-30,2003-11-152002-11-302001-10-19,SO61325SO48963SO45254,1185.0,75946.0,23.0,4.0,3.0
2017-01-022016-01-222015-01-30,2003-12-052002-10-082001-12-14,SO61325SO48973SO45258,1259.0,74051.0,28.0,3.0,3.0
2017-01-022016-01-222015-01-30,2003-11-232002-12-202001-12-16,SO61335SO48968SO45253,1161.0,62843.0,6.0,3.0,3.0
2017-01-022016-01-222015-01-30,2003-11-132002-10-192001-10-22,SO61347SO48966SO45256,1171.0,54119.0,22.0,4.0,4.0
2017-01-022016-01-222015-01-30,2003-11-052002-11-102001-10-16,SO61347SO48967SO45255,1178.0,65366.0,13.0,3.0,3.0
2017-01-022016-01-222015-01-30,2003-11-282002-10-312001-11-05,SO61347SO48970SO45250,1185.0,62492.0,22.0,5.0,3.0
2017-01-022016-01-222015-01-30,2003-11-062002-10-092001-11-08,SO61323SO48971SO45251,916.0,50895.0,25.0,4.0,3.0
2017-01-022016-01-222015-01-30,2003-11-082003-01-062002-01-04,SO61323SO48972SO45249,1250.0,46405.0,27.0,3.0,3.0
2017-01-022016-01-222015-01-30,2003-10-012002-11-102002-01-15,SO61331SO48969SO45257,1173.0,53300.0,24.0,5.0,4.0
2017-01-022016-01-222015-01-30,2003-09-232002-10-102001-11-15,SO61331SO48965SO45252,1230.0,53169.0,20.0,4.0,4.0
2017-01-022016-01-222015-01-31,2003-11-162002-11-072001-11-30,SO61331SO48964SO45262,1224.0,57351.0,18.0,3.0,3.0
2017-01-022016-01-232015-01-31,2003-09-162002-11-232001-10-15,SO61334SO48984SO45259,1148.0,65096.0,14.0,4.0,4.0
2017-01-022016-01-232015-01-31,2003-12-182002-10-282001-10-18,SO61334SO48975SO45264,1272.0,51432.0,20.0,3.0,4.0
2017-01-022016-01-232015-01-31,2003-10-282002-10-022001-12-10,SO61329SO48986SO45261,1177.0,82891.0,14.0,3.0,5.0
2017-01-022016-01-232015-01-31,2003-11-012002-09-302001-10-05,SO61329SO48974SO45263,1245.0,59504.0,15.0,4.0,4.0
2017-01-022016-01-232015-01-31,2003-09-062002-12-052001-10-08,SO61329SO48978SO45265,951.0,52816.0,14.0,5.0,3.0
2017-01-022016-01-232015-01-31,2003-12-112002-11-282001-10-05,SO61348SO48983SO45260,1172.0,68569.0,12.0,4.0,5.0
2017-01-022016-01-232015-02-01,2003-11-062002-11-032001-11-16,SO61348SO48987SO45345,1095.0,65622.0,26.0,5.0,4.0
2017-01-022016-01-232015-02-01,2003-10-102002-12-102001-12-07,SO61348SO48976SO45349,1207.0,55891.0,26.0,3.0,4.0
2017-01-022016-01-232015-02-01,2003-10-212002-10-252001-11-19,SO61363SO48982SO45347,1141.0,59418.0,12.0,4.0,4.0
2017-01-022016-01-232015-02-01,2003-09-062002-12-302001-12-06,SO61363SO48979SO45348,1165.0,62618.0,17.0,5.0,4.0
2017-01-022016-01-232015-02-01,2003-09-302002-11-292002-01-10,SO61363SO48985SO45350,1241.0,62460.0,22.0,3.0,3.0
2017-01-022016-01-232015-02-02,2003-10-022003-01-042001-12-31,SO61344SO48981SO45354,1236.0,60596.0,24.0,3.0,4.0
2017-01-022016-01-232015-02-02,2003-09-052002-12-292002-01-02,SO61344SO48977SO45352,1169.0,53739.0,25.0,4.0,4.0
2017-01-022016-01-232015-02-02,2003-09-112002-10-292002-01-01,SO61344SO48980SO45356,1162.0,60234.0,25.0,5.0,3.0
2017-01-022016-01-242015-02-02,2003-10-242002-11-242001-10-28,SO61368SO48992SO45353,909.0,54396.0,19.0,4.0,3.0
2017-01-022016-01-242015-02-02,2003-12-122002-12-092002-01-07,SO61368SO48993SO45355,1265.0,64092.0,24.0,3.0,3.0
2017-01-022016-01-242015-02-02,2003-09-152002-12-222001-12-14,SO61371SO48988SO45351,1289.0,56600.0,24.0,3.0,3.0
2017-01-022016-01-242015-02-03,2003-09-232002-11-182002-01-09,SO61357SO48990SO45358,1210.0,50312.0,17.0,4.0,5.0
2017-01-022016-01-242015-02-03,2003-09-042002-10-202001-12-01,SO61357SO48994SO45357,1137.0,58530.0,12.0,7.0,4.0
2017-01-022016-01-242015-02-03,2003-10-282002-11-202001-11-23,SO61357SO48991SO45361,1194.0,49929.0,15.0,5.0,4.0
2017-01-022016-01-242015-02-03,2003-11-212002-12-172001-11-07,SO61357SO48989SO45360,888.0,71981.0,14.0,6.0,3.0
2017-01-022016-01-252015-02-03,2003-11-172002-10-302001-11-25,SO61357SO48998SO45362,1232.0,60513.0,19.0,3.0,3.0
2017-01-022016-01-252015-02-03,2003-11-142002-10-242001-12-21,SO61326SO48995SO45359,1151.0,56534.0,19.0,4.0,5.0
